,Country Name,Country Code,Indicator Name,Year,Percentage
0,Algeria,DZA,% of total population using drinking water services,2000,89.8
1,Algeria,DZA,% of rural population using drinking water services,2000,83.4
2,Algeria,DZA,% of urban population using drinking water services,2000,94.2
3,Angola,AGO,% of total population using drinking water services,2000,41.1
4,Angola,AGO,% of rural population using drinking water services,2000,21.2
5,Angola,AGO,% of urban population using drinking water services,2000,61.1
6,Benin,BEN,% of total population using drinking water services,2000,62.2
7,Benin,BEN,% of rural population using drinking water services,2000,52.7
8,Benin,BEN,% of urban population using drinking water services,2000,77.5
9,Botswana,BWA,% of total population using drinking water services,2000,75.2
10,Botswana,BWA,% of rural population using drinking water services,2000,53.6
11,Botswana,BWA,% of urban population using drinking water services,2000,94.2
12,Burkina Faso,BFA,% of total population using drinking water services,2000,58.1
13,Burkina Faso,BFA,% of rural population using drinking water services,2000,53.5
14,Burkina Faso,BFA,% of urban population using drinking water services,2000,79.1
15,Burundi,BDI,% of total population using drinking water services,2000,50.7
16,Burundi,BDI,% of rural population using drinking water services,2000,47.8
17,Burundi,BDI,% of urban population using drinking water services,2000,82.0
18,Cabo Verde,CPV,% of total population using drinking water services,2000,79.1
19,Cabo Verde,CPV,% of rural population using drinking water services,2000,70.1
20,Cabo Verde,CPV,% of urban population using drinking water services,2000,86.9
21,Cameroon,CMR,% of total population using drinking water services,2000,57.6
22,Cameroon,CMR,% of rural population using drinking water services,2000,36.8
23,Cameroon,CMR,% of urban population using drinking water services,2000,82.5
24,Central African Republic,CAF,% of total population using drinking water services,2000,59.0
25,Central African Republic,CAF,% of rural population using drinking water services,2000,44.4
26,Central African Republic,CAF,% of urban population using drinking water services,2000,83.2
27,Chad,TCD,% of total population using drinking water services,2000,39.5
28,Chad,TCD,% of rural population using drinking water services,2000,29.7
29,Chad,TCD,% of urban population using drinking water services,2000,75.1
30,"Congo, Dem. Rep.",COD,% of total population using drinking water services,2000,33.7
31,"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2000,16.3
32,"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2000,65.9
33,"Congo, Rep.",COG,% of total population using drinking water services,2000,57.2
34,"Congo, Rep.",COG,% of rural population using drinking water services,2000,18.0
35,"Congo, Rep.",COG,% of urban population using drinking water services,2000,84.7
36,Cote d'Ivoire,CIV,% of total population using drinking water services,2000,71.4
37,Cote d'Ivoire,CIV,% of rural population using drinking water services,2000,56.2
38,Cote d'Ivoire,CIV,% of urban population using drinking water services,2000,91.4
39,Djibouti,DJI,% of total population using drinking water services,2000,75.4
40,Djibouti,DJI,% of rural population using drinking water services,2000,54.3
41,Djibouti,DJI,% of urban population using drinking water services,2000,81.9
42,"Egypt, Arab Rep.",EGY,% of total population using drinking water services,2000,97.9
43,"Egypt, Arab Rep.",EGY,% of rural population using drinking water services,2000,96.9
44,"Egypt, Arab Rep.",EGY,% of urban population using drinking water services,2000,99.2
45,Eswatini,SWZ,% of total population using drinking water services,2000,53.3
46,Eswatini,SWZ,% of rural population using drinking water services,2000,43.3
47,Eswatini,SWZ,% of urban population using drinking water services,2000,87.3
48,Ethiopia,ETH,% of total population using drinking water services,2000,18.1
49,Ethiopia,ETH,% of rural population using drinking water services,2000,8.2
50,Ethiopia,ETH,% of urban population using drinking water services,2000,75.2
51,Gabon,GAB,% of total population using drinking water services,2000,80.9
52,Gabon,GAB,% of rural population using drinking water services,2000,42.9
53,Gabon,GAB,% of urban population using drinking water services,2000,91.0
54,"Gambia, The",GMB,% of total population using drinking water services,2000,73.8
55,"Gambia, The",GMB,% of rural population using drinking water services,2000,65.2
56,"Gambia, The",GMB,% of urban population using drinking water services,2000,83.1
57,Ghana,GHA,% of total population using drinking water services,2000,63.8
58,Ghana,GHA,% of rural population using drinking water services,2000,53.2
59,Ghana,GHA,% of urban population using drinking water services,2000,77.5
60,Guinea,GIN,% of total population using drinking water services,2000,53.2
61,Guinea,GIN,% of rural population using drinking water services,2000,42.2
62,Guinea,GIN,% of urban population using drinking water services,2000,77.8
63,Guinea-Bissau,GNB,% of total population using drinking water services,2000,56.0
