"Informazioni cronologiche","Proseguendo accetti che i tuoi dati vengano analizzati in forma anonima e trattati in conformità delle normative vigenti sulla Privacy (Informativa sul trattamento dei dati personali ai sensi del Regolamento EU 679/2016 e del D. Lgs. 101/2018)","Utilità","Intuitività","Chiarezza","Informatività","Bellezza estetica","Di valore","Utilità","Intuitività","Chiarezza","Informatività","Bellezza estetica","Di valore"
"2022/01/16 4:28:54 PM CET","Acconsento","5","6","5","4","5","5","5","4","5","4","5","5"
"2022/01/16 4:37:52 PM CET","Acconsento","5","5","4","6","2","4","5","4","4","6","3","4"
"2022/01/17 3:42:33 PM CET","Acconsento","4","5","5","5","3","4","5","4","4","5","3","4"
"2022/01/18 11:30:51 AM CET","Acconsento","5","5","6","5","6","5","6","4","5","5","4","5"
"2022/01/19 1:32:41 PM CET","Acconsento","5","5","5","5","4","4","5","5","5","5","4","4"
"2022/01/20 10:29:39 AM CET","Acconsento","5","4","5","5","4","5","6","4","4","5","4","4"
"2022/01/20 11:24:44 AM CET","Acconsento","5","4","4","5","4","5","4","4","4","4","4","4"
"2022/01/20 11:25:10 AM CET","Acconsento","6","5","5","5","4","5","5","5","5","5","4","5"
"2022/01/20 11:25:42 AM CET","Acconsento","5","5","4","6","4","5","5","5","5","5","4","5"
"2022/01/20 11:26:09 AM CET","Acconsento","5","5","4","6","5","5","5","5","5","5","4","5"
"2022/01/21 3:18:45 PM CET","Acconsento","5","5","5","5","4","5","5","6","5","6","5","6"
"2022/01/21 4:32:27 PM CET","Acconsento","6","5","4","6","4","5","4","5","5","5","5","4"
"2022/01/21 4:42:29 PM CET","Acconsento","5","6","6","6","5","5","4","6","6","4","4","4"
"2022/01/25 1:02:15 PM CET","Acconsento","4","6","4","4","5","5","5","5","4","4","5","4"
"2022/01/25 1:02:40 PM CET","Acconsento","4","6","6","5","5","4","4","2","3","5","3","4"
"2022/01/25 1:03:44 PM CET","Acconsento","5","6","6","4","6","5","6","4","4","5","3","4"
"2022/01/25 1:27:42 PM CET","Acconsento","5","4","4","4","3","3","4","5","5","5","3","3"
"2022/01/25 1:51:27 PM CET","Acconsento","6","6","5","6","6","5","5","4","5","4","6","6"
"2022/01/25 2:26:27 PM CET","Acconsento","4","6","6","5","5","4","5","4","5","5","5","5"
"2022/01/25 3:41:01 PM CET","Acconsento","5","5","6","5","5","5","6","6","6","6","6","6"
"2022/01/25 7:59:34 PM CET","Acconsento","6","5","5","6","6","5","6","6","6","6","6","6"
"2022/01/25 8:15:02 PM CET","Acconsento","6","4","4","6","4","5","6","5","6","6","5","5"
"2022/01/25 8:15:46 PM CET","Acconsento","5","4","3","5","4","5","6","4","5","4","4","5"
"2022/01/25 8:26:01 PM CET","Acconsento","5","6","4","4","5","5","5","5","6","5","5","6"
"2022/01/25 8:28:37 PM CET","Acconsento","6","4","5","6","5","6","5","5","6","5","4","5"
"2022/01/25 8:29:13 PM CET","Acconsento","6","5","5","6","5","6","5","5","6","5","5","5"
"2022/01/25 9:30:25 PM CET","Acconsento","4","5","6","5","6","5","5","5","5","5","5","5"
"2022/01/25 9:35:23 PM CET","Acconsento","6","4","4","5","6","5","6","3","4","4","6","5"
"2022/01/25 9:38:39 PM CET","Acconsento","5","4","5","6","4","5","5","4","5","6","4","5"
