Country Name,Country Code,Indicator Name,Year,Percentage
Algeria,DZA,% of total population using drinking water services,2000,89.84882827
Algeria,DZA,% of rural population using drinking water services,2000,83.41060174
Algeria,DZA,% of urban population using drinking water services,2000,94.15548024
Angola,AGO,% of total population using drinking water services,2000,41.14430792
Angola,AGO,% of rural population using drinking water services,2000,21.15264072
Angola,AGO,% of urban population using drinking water services,2000,61.06652686
Benin,BEN,% of total population using drinking water services,2000,62.21775574
Benin,BEN,% of rural population using drinking water services,2000,52.74426637
Benin,BEN,% of urban population using drinking water services,2000,77.45793324
Botswana,BWA,% of total population using drinking water services,2000,75.19896513
Botswana,BWA,% of rural population using drinking water services,2000,53.57891785
Botswana,BWA,% of urban population using drinking water services,2000,94.20359397
Burkina Faso,BFA,% of total population using drinking water services,2000,58.06578949
Burkina Faso,BFA,% of rural population using drinking water services,2000,53.50544578
Burkina Faso,BFA,% of urban population using drinking water services,2000,79.06219358
Burundi,BDI,% of total population using drinking water services,2000,50.66311688
Burundi,BDI,% of rural population using drinking water services,2000,47.84252522
Burundi,BDI,% of urban population using drinking water services,2000,82.0481219
Cabo Verde,CPV,% of total population using drinking water services,2000,79.08041443
Cabo Verde,CPV,% of rural population using drinking water services,2000,70.11135373
Cabo Verde,CPV,% of urban population using drinking water services,2000,86.89634716
Cameroon,CMR,% of total population using drinking water services,2000,57.6186875
Cameroon,CMR,% of rural population using drinking water services,2000,36.80810301
Cameroon,CMR,% of urban population using drinking water services,2000,82.50347215
Central African Republic,CAF,% of total population using drinking water services,2000,59.0104898
Central African Republic,CAF,% of rural population using drinking water services,2000,44.41272735
Central African Republic,CAF,% of urban population using drinking water services,2000,83.19633611
Chad,TCD,% of total population using drinking water services,2000,39.52587081
Chad,TCD,% of rural population using drinking water services,2000,29.71377005
Chad,TCD,% of urban population using drinking water services,2000,75.0624827
"Congo, Dem. Rep.",COD,% of total population using drinking water services,2000,33.71492715
"Congo, Dem. Rep.",COD,% of rural population using drinking water services,2000,16.31363876
"Congo, Dem. Rep.",COD,% of urban population using drinking water services,2000,65.85890251
"Congo, Rep.",COG,% of total population using drinking water services,2000,57.15587365
"Congo, Rep.",COG,% of rural population using drinking water services,2000,18.01043776
"Congo, Rep.",COG,% of urban population using drinking water services,2000,84.70340156
Cote d'Ivoire,CIV,% of total population using drinking water services,2000,71.39500207
Cote d'Ivoire,CIV,% of rural population using drinking water services,2000,56.20447139
Cote d'Ivoire,CIV,% of urban population using drinking water services,2000,91.40440875
Djibouti,DJI,% of total population using drinking water services,2000,75.44816207
